order,player_key,player_label,name,shirt,role,position,minutes,rating,fgt,pass_accuracy,inaccurate_passes,dribbled_past90,retention_risk,xgi90,duel_win_rate,primary_lane,primary_third,weakness_label,weakness_value,strength_label,strength_value,opponent,opponent_key,opponent_role,opponent_threat
0,alisson_becker_1,Alisson Becker (1),Alisson Becker,1,Goleiro,0,270,7.7,61,0.8243243243243243,13,0.0,0.0,0.0,1.0,center,low,Erra muito passe,13 passes errados (18%),Segurança,65,Ayase Ueda,ayase_ueda_18,Ataque,0.42 xGI/90 · 67% drible
1,gabriel_3,Gabriel (3),Gabriel,3,Defesa,1,270,7.4,64,0.9581749049429658,11,0.0,0.006756756756756757,0.03666666666666667,0.8888888888888888,center,low,Sólido — sem brecha clara,89% de duelos · 96% de passe,Segurança,90,Ayase Ueda,ayase_ueda_18,Ataque,0.42 xGI/90 · 67% drible
2,marquinhos_4,Marquinhos (4),Marquinhos,4,Defesa,1,270,7.1,59,0.9486166007905138,13,0.0,0.010869565217391304,0.043333333333333335,0.7272727272727273,right,low,Sólido — sem brecha clara,73% de duelos · 95% de passe,Segurança,84,Keito Nakamura,keito_nakamura_13,Ataque,0.31 xGI/90 · 83% drible
3,douglas_santos_16,Douglas Santos (16),Douglas Santos,16,Defesa,1,262,7.4,56,0.9057971014492754,13,0.34351145038167935,0.02702702702702703,0.06870229007633588,0.6875,left,low,Sólido — sem brecha clara,69% de duelos · 91% de passe,Segurança,73,Junya Ito,junya_ito_14,Ataque,0.51 xGI/90 · 10% drible
4,danilo_13,Danilo (13),Danilo,13,Defesa,1,225,7.1,52,0.8875,18,0.4,0.03980099502487562,0.19599999999999998,0.42857142857142855,right,mid,Perde duelos,só 43% de duelos ganhos,Progressão,62,Keito Nakamura,keito_nakamura_13,Ataque,0.31 xGI/90 · 83% drible
5,lucas_paqueta_20,Lucas Paquetá (20),Lucas Paquetá,20,Meio,2,191,7.7,63,0.8671328671328671,19,1.413612565445026,0.09042553191489362,0.518324607329843,0.5333333333333333,left,mid,Erra muito passe,19 passes errados (13%),Criação,83,Daichi Kamada,daichi_kamada_15,Meio,0.41 xGI/90 · 50% drible
6,casemiro_5,Casemiro (5),Casemiro,5,Meio,2,200,7.2,58,0.8672566371681416,15,1.8,0.09615384615384616,0.135,0.5757575757575758,center,mid,É driblado com facilidade,1.8 dribles sofridos/90,Defesa,80,Daichi Kamada,daichi_kamada_15,Meio,0.41 xGI/90 · 50% drible
7,bruno_guimaraes_8,Bruno Guimarães (8),Bruno Guimarães,8,Meio,2,251,7.9,56,0.8521739130434782,17,1.4342629482071714,0.10240963855421686,0.27609561752988054,0.5625,center,mid,Erra muito passe,17 passes errados (15%),Criação,71,Daichi Kamada,daichi_kamada_15,Meio,0.41 xGI/90 · 50% drible
8,matheus_cunha_9,Matheus Cunha (9),Matheus Cunha,9,Ataque,3,169,8.3,64,0.84375,10,0.5325443786982248,0.061224489795918366,0.6710059171597633,0.7058823529411765,center,mid,Erra muito passe,10 passes errados (16%),Ataque,85,Ko Itakura,ko_itakura_4,Defesa,0.03 xGI/90 · 0% drible
9,vinicius_junior_7,Vinícius Júnior (7),Vinícius Júnior,7,Ataque,3,261,8.4,64,0.8271604938271605,14,0.0,0.16783216783216784,1.4965517241379311,0.40540540540540543,left,high,Perde a posse,17% de perda por toque,Ataque,90,Yukinari Sugawara,yukinari_sugawara_2,Defesa,0.16 xGI/90 · 0% drible
10,rayan_26,Rayan (26),Rayan,26,Ataque,3,132,7.7,61,0.9534883720930233,2,0.0,0.11267605633802817,0.49090909090909085,0.5625,right,high,Perde a posse,11% de perda por toque,Ataque,77,Hiroki Ito,hiroki_ito_21,Defesa,0.04 xGI/90 · 0% drible
