team,third,lane,value
brasil,low,left,0.11400714793146469
brasil,low,center,0.13523339311105453
brasil,low,right,0.10571053304661128
brasil,mid,left,0.13471941723853764
brasil,mid,center,0.1598019443663604
brasil,mid,right,0.1249155133376003
brasil,high,left,0.07246459680641348
brasil,high,center,0.085956306112024
brasil,high,right,0.06719114804993369
japao,low,left,0.11165138123480856
japao,low,center,0.12440721008825999
japao,low,right,0.11788441532299732
japao,mid,left,0.13180488376291796
japao,mid,center,0.14686318864669745
japao,mid,right,0.139163004409507
japao,high,left,0.07199390392299217
japao,high,center,0.08021898727419759
japao,high,right,0.0760130253376218
